Холс Экстра сильный 1/30бл/12шт. 33гр. (чёрный)	17,73
Холс Гранат/Ягоды 1/30бл/12шт. 33гр.	17,73
Холс Мандарин и имбирь 1/30бл/12шт. 33гр.	17,73
Холс Мёд с лимоном1/30бл/12шт. 33гр.	17,73
Холс Ментол - Экстра сильный 1/30бл/12шт. 33гр.	17,73
Холс Оригинальный 1/30бл/12шт. 33гр.	17,73
Печенье-сэндвич Тими клубника-банан 1*6бл.*15шт*56гр. (печенье )	17,79
Сладко темный шок.-ваниль 1/50гр/10бл*20шт (батончик)	17,80
Счастливый день сахарное ореховое 1/126 гр/26шт (печенье)	17,89
Stop хрустящий 1/24шт. 50 гр. (драже)	18,05
Stop шоколадный 1/24шт. 50 гр. (драже)	18,05
Stops хрустящий 1/24шт. 50 гр. (драже)	18,05
Счастливый день сахарное со вкусом сгущенного молока 1/126 гр/26шт (печенье)	18,06
Хлебная соломка Manifesto c солью 1/40 шт. 50гр. 641	18,16
Козинак подсолнечный 1* 30шт *150 гр.	18,21
Хубба Бубба клёвая кола 1/24 шт.	18,26
Хубба Бубба клубничный бум 1/24 шт.	18,26
Juicy Fruit клёвая кола 1/13гр./24шт	18,27
Juicy Fruit клубничный бум 1/13гр./24шт	18,27
Juicy Fruit фруктовый вкус 1/13гр./20шт	18,27
Сушки-мини маковые 1/48шт. 75гр. ( сушка )	18,27
Сушки-мини соленые 1/64шт. 75гр. ( сушка )	18,27
Счастливый день сгущенное молоко 1/96 гр/30шт (печенье)	18,29
Юбилейное традиц.ф/пак 1/60шт. 112гр. (печенье)	18,51
Земляничное 1/48 шт 130 гр (печенье)	18,53
К чаю 1/48 шт 130 гр (печенье)	18,53
Сахарное 1/48 шт 130 гр (печенье)	18,53
Земляничное 1/48 шт 130 гр (печенье)	18,53
Сгущ.молоко 1/48 шт 130 гр (печенье)	18,53
Топленое молоко 1/48 шт 130 гр (печенье)	18,53
Stops арахис 1/24шт. 50 гр. (драже)	18,60
Stops шоколад 1/24шт. 50 гр. (драже)	18,60
Мамба 1*6бл* 48шт 26,5 гр.	18,69
Мамба 2 в 1 1/ 48шт 26,5 (27,5) гр.	18,69
Мамба Кола 1/ 48шт 26,5 гр.	18,69
Мамба Тропикс 1/48шт 26,5 гр.	18,70
Детский сувенир мармеладные гонки 1/70гр 24 шт (мармелад)	18,81
Детский сувенир мармеладные медвежата 1/70гр 24шт (мармелад)	18,81
Детский сувенир мармеладные цифробуквы 1/70гр 24шт (мармелад)	18,81
Детский сувенир мармеладные червячки 1/70гр 24шт (мармелад)	18,81
Детский сувенир мармеладный океан 1/70гр 24шт (мармелад)	18,81
Желейный-сбивной MonLiebe 1/70гр 24 шт	18,81
Козинак подсолнечный на фруктозе 1* 30шт *110 гр.	18,84
Чупа Чупс XXL 4D ассорти 1/40шт	18,89
Чупа-Чупс XXL Трио (Ассорти) 1/40шт.	18,89
Орбит ( Сладкая мята) 1/30 шт.	18,93
Орбит Белоснежный ( Нежная. мята ) 1/30 шт.	18,93
Добрый совет шоколадный вкус на фруктозе 1/48 шт. 73 гр. (вафли)	18,96
Артек 1/075 х 52шт (вафли)	19,03
Сладко с нач крем -брюле темный шок. 1/50гр 200шт (бат)	19,09
Юбилейное земляничное 1/60шт. 112гр. (печенье)	19,20
Юбилейное молочное 1/60шт. 112гр. (печенье)	19,20
Счастливый день сахарное шоколадное 1/126 гр/26шт (печенье)	19,21
Stop арахис 1/24шт. 50 гр. (драже)	19,31
Stops арахис 1/24шт. 50 гр. (драже)	19,31
Stops шоколад 1/24шт. 50 гр. (драже)	19,31
Добрый совет с возд. рисом на фруктозе 1/30 шт. 150 гр. (печенье)	19,34
Аленка с нач. крем брюле 42 гр. аэрир 1*6*20 (шоколад)	19,36
Аленка с молочно-злаковой нач. 45 гр 1*6*20 (шоколад)	19,36
Аленка с нач.вареная сгущенка 48 гр 1*6*20 (шоколад)	19,36
Добрый срвет с кунжутом на фруктозе 1/30 шт. 140 гр. (печенье)	19,36
Холс Лесные ягоды1/30бл/12шт. 33гр.	19,38
Волжские рыбки с маком 1/18 шт. 200 гр. (крекер) в прозр.пленке	19,45
Любимый с луком 1/18 шт. 200 гр. (крекер) в прозр.пленке	19,45
Любимый с солью 1/18 шт. 200 гр. (крекер)	19,45
